#Metacyc pathway and RXN mapping file
#Pathway	RXN
PWY-7312	RXN-14533
PWY-7312	RXN-14532
PWY-7312	DTDPGLUCDEHYDRAT-RXN
PWY-7414	RXN-12772
PWY-7414	DTDPGLUCOSEPP-RXN
PWY-7414	RXN-12840
PWY-7414	DTDPGLUCDEHYDRAT-RXN
PWY-7414	RXN-12810
PWY-5364	RXN-8269
PWY-5364	RXN-8380
PWY-7738	RXN-17254
PWY-7738	RXN-17315
PWY-7738	RXN-17178
PWY-7738	RXN-17313
PWY-7738	RXN-17314
PWY-7738	RXN-17177
PWY-7738	RXN-17312
PWY1G-126	RXN1G-6
PWY1G-126	1.8.1.15-RXN
PWY-7902	2.4.1.213-RXN
PWY-7902	PHOSPHOGLUCMUT-RXN
PWY-7902	3.1.3.69-RXN
PWY-7902	GLUC1PADENYLTRANS-RXN
PWY-7902	GLYC3PDEHYDROGBIOSYN-RXN
GLUTATHIONESYN-PWY	GLUTCYSLIG-RXN
GLUTATHIONESYN-PWY	GLUTATHIONE-SYN-RXN
PWY-7684	2.4.1.157-RXN
PWY-7684	2.4.1.208-RXN
PWY-6942	RXN-12767
PWY-6942	RXN-12769
PWY-6942	DTDPGLUCOSEPP-RXN
PWY-6942	DTDPGLUCDEHYDRAT-RXN
PWY-6942	2.6.1.33-RXN
PWY-6942	RXN-12768
PWY-7885	RXN-18681
PWY-7885	2.4.1.57-RXN
PWY-7885	RXN-18608
PWY-7885	RXN-18682
PWY-7885	RXN-18607
PWY-7885	RXN-18683
PWY-7885	RXN-18680
PWY-7885	RXN-18684
PWY-7885	RXN-18609
PWY-7885	RXN-18610
PWY1G-0	RXN1G-2
PWY1G-0	RXN1G-4
PWY1G-0	RXN1G-121
PWY1G-0	MYO-INOSITOL-1-PHOSPHATE-SYNTHASE-RXN
PWY1G-0	RXN-6501
PWY1G-0	RXN-11015
PWY-7666	RXN-16648
PWY-7666	RXN-1225
PWY-7666	RXN-16647
PWY-7440	RXN-15226
PWY-7440	RXN-12943
PWY-7440	RXN-15227
PWY-7440	RXN-12404
PWY-7440	RXN-15225
PWY-7440	DTDPGLUCOSEPP-RXN
PWY-7440	DTDPGLUCDEHYDRAT-RXN
PWY-7440	RXN-15233
THIOREDOX-PWY	THIOREDOXIN-RXN
THIOREDOX-PWY	THIOREDOXIN-REDUCT-NADPH-RXN
PWY-6974	RXN-12943
PWY-6974	RXN-12404
PWY-6974	RXN-12928
PWY-6974	DTDPGLUCOSEPP-RXN
PWY-6974	RXN-16262
PWY-6974	DTDPGLUCDEHYDRAT-RXN
PWY-6974	RXN-12929
PWY-7814	DTDPGLUCOSEPP-RXN
PWY-7814	DTDPDEHYDRHAMEPIM-RXN
PWY-7814	DTDPGLUCDEHYDRAT-RXN
PWY-7814	RXN-18005
PWY-7814	RXN-18003
PWY-7814	RXN-18004
PWY-7301	RXN-14667
PWY-7301	RXN-14668
PWY-7301	DTDPGLUCOSEPP-RXN
PWY-7301	DTDPGLUCDEHYDRAT-RXN
PWY-7301	DTDPDEHYDRHAMEPIM-RXN
GLUT-REDOX-PWY	PRODISULFREDUCT-A-RXN
GLUT-REDOX-PWY	RXN0-7271
PWY-7316	DTDPGLUCOSEPP-RXN
PWY-7316	DTDPGLUCDEHYDRAT-RXN
PWY-7316	2.6.1.33-RXN
PWY-7316	RXN-13755
PWY-4081	GLUTATHIONE-REDUCT-NADPH-RXN
PWY-4081	1.11.1.12-RXN
PWY-4081	GLUTATHIONE-PEROXIDASE-RXN
PWY-7413	RXN-15048
PWY-7413	DTDPGLUCOSEPP-RXN
PWY-7413	RXN-14707
PWY-7413	DTDPGLUCDEHYDRAT-RXN
DTDPRHAMSYN-PWY	DTDPDEHYDRHAMEPIM-RXN
DTDPRHAMSYN-PWY	DTDPGLUCOSEPP-RXN
DTDPRHAMSYN-PWY	DTDPGLUCDEHYDRAT-RXN
DTDPRHAMSYN-PWY	DTDPDEHYRHAMREDUCT-RXN
PWY8J2-1	RXN8J2-3
PWY8J2-1	RXN8J2-1
PWY8J2-1	RXN8J2-2
PWY-7439	RXN-15231
PWY-7439	RXN-15232
PWY-7439	RXN-15229
PWY-7439	RXN-15228
PWY-4181	RXN-6703
PWY-4181	RXN-6701
PWY-4181	RXN-6702
PWY-6640	GENTISATE-12-DIOXYGENASE-RXN
PWY-6640	RXN-11741
PWY-6640	RXN-11740
PWY-6640	RXN-11113
PWY-6640	RXN-11739
CYCLOHEXANOL-OXIDATION-PWY	6-HEXANOLIDE-HYDROLYSIS-RXN
CYCLOHEXANOL-OXIDATION-PWY	6-OXOHEXANOATE-OXIDATION-RXN
CYCLOHEXANOL-OXIDATION-PWY	CYCLOHEXANOL-DEHYDROGENASE-RXN
CYCLOHEXANOL-OXIDATION-PWY	CYCLOHEXANONE-MONOOXYGENASE-RXN
CYCLOHEXANOL-OXIDATION-PWY	6-HYDROXYHEXANOATE-OXIDATION-RXN
GLYCOL-GLYOXDEG-PWY	GLYCOLALD-DEHYDROG-RXN
GLYCOL-GLYOXDEG-PWY	GLYCOLATEDEHYDRO-RXN
PWY-6464	RXN-11316
PWY-6464	RXN-11317
PWY-7013	RXN-13198
PWY-7013	RXN-12736
PWY-7013	PROPANEDIOL-DEHYDRATASE-RXN
PWY-7013	PTAALT-RXN
PWY-7013	PROPKIN-RXN
PWY-7616	RXN0-3281
PWY-7616	RXN-6581
PWY-7616	RXN1G-129
PWY-7616	METHANOL-DEHYDROGENASE-RXN
PWY-7616	FORMALDEHYDE-DEHYDROGENASE-RXN
PWY0-1280	GLYCOLALD-DEHYDROG-RXN
PWY0-1280	GLYCOLALDREDUCT-RXN
PWY-3661	RXN-15125
PWY-3661	RXN-15127
PWY-3661	RXN-15124
PWY-3661	GLYOHMETRANS-RXN
PWY-3661	2.1.1.5-RXN
PWY-3661	DIMETHYLGLYCINE-DEHYDROGENASE-RXN
PWY-3661	SARCOX-RXN
PWY-6572	RXN-12177
PWY-6572	CHONDRO-4-SULFATASE-RXN
PWY-6572	RXN-11615
PWY-6572	RXN-11572
PWY-6572	CHONDRO-6-SULFATASE-RXN
PWY-6572	RXN-12178
PWY-6572	4.2.2.21-RXN
PWY-6572	4.2.2.5-RXN
PWY-7644	RXN-16484
PWY-7644	RXN-16483
PWY-7644	4.2.2.7-RXN
PWY-7644	N-SULFOGLUCOSAMINE-SULFOHYDROLASE-RXN
PWY-7644	DISULFOGLUCOSAMINE-6-SULFATASE-RXN
PYRIDOXSYN-PWY	PDXJ-RXN
PYRIDOXSYN-PWY	RXN-13179
PYRIDOXSYN-PWY	DXS-RXN
PYRIDOXSYN-PWY	ERYTHRON4PDEHYDROG-RXN
PYRIDOXSYN-PWY	PSERTRANSAMPYR-RXN
PYRIDOXSYN-PWY	ERYTH4PDEHYDROG-RXN
PYRIDOXSYN-PWY	PNPOXI-RXN
PWY-7651	4.2.2.8-RXN
PWY-7651	RXN-16509
PWY-7651	N-SULFOGLUCOSAMINE-SULFOHYDROLASE-RXN
PWY-7646	CHONDRO-4-SULFATASE-RXN
PWY-7646	RXN-12178
PWY-7646	4.2.2.19-RXN
PWY-7646	RXN-11577
PLPSAL-PWY	PNKIN-RXN
PLPSAL-PWY	PYRIDOXKIN-RXN
PLPSAL-PWY	PYRAMKIN-RXN
PLPSAL-PWY	PNPOXI-RXN
PLPSAL-PWY	PMPOXI-RXN
PWY-7645	RXN-16485
PWY-7645	HYALURONATE-LYASE-RXN
ILEUSYN-PWY	BRANCHED-CHAINAMINOTRANSFERILEU-RXN
ILEUSYN-PWY	RXN-15123
ILEUSYN-PWY	RXN-15122
ILEUSYN-PWY	ACETOOHBUTREDUCTOISOM-RXN
ILEUSYN-PWY	ACETOOHBUTSYN-RXN
ILEUSYN-PWY	DIHYDROXYMETVALDEHYDRAT-RXN
ILEUSYN-PWY	RXN-15121
PWY-5103	BRANCHED-CHAINAMINOTRANSFERILEU-RXN
PWY-5103	METHYLASPARTATE-MUTASE-RXN
PWY-5103	ACETOOHBUTREDUCTOISOM-RXN
PWY-5103	DIHYDROXYMETVALDEHYDRAT-RXN
PWY-5103	ACETOOHBUTSYN-RXN
PWY-5103	RXN-7751
PWY-5103	RXN-7746
PWY-5101	R-2-METHYLMALATE-DEHYDRATASE-RXN
PWY-5101	BRANCHED-CHAINAMINOTRANSFERILEU-RXN
PWY-5101	RXN-7745
PWY-5101	RXN-16062
