	copy_number
Candidatus_Blochmannia_pennsylvanicus	1
Histophilus_somni	5
Aliivibrio_fischeri	12
Anaplasma_marginale	1
Ruegeria_pomeroyi	3
Lactobacillus_acidophilus	4.12
Shigella_dysenteriae	7
Shigella_boydii	7
Borrelia_turicatae	1
Rickettsia_felis	1
Haemophilus_influenzae	6.02
Pseudomonas_savastanoi	5
'Aster_yellows_witches''-broom_phytoplasma'	2
Pseudomonas_syringae	5.03
Pseudomonas_protegens	5.15
Sulfolobus_acidocaldarius	1
Psychrobacter_arcticus	4
Colwellia_psychrerythraea	9
Candidatus_Pelagibacter_ubique	1
Burkholderia_thailandensis	4
Rickettsia_bellii	1
Thermobifida_fusca	3.5
Dechloromonas_aromatica	4
Pelodictyon_luteolum	2
Synechococcus_sp._CC9902	2
Methanosphaera_stadtmanae	4
Ehrlichia_canis	1
Chlorobium_chlorochromatii	1
Hydrogenovibrio_crunogenus	3
Synechococcus_sp._CC9605	2
Desulfovibrio_alaskensis	4
Myxococcus_xanthus	4
Nitrobacter_winogradskyi	1
Thiobacillus_denitrificans	2
Nitrosococcus_oceani	2
Phocaeicola_vulgatus	7
Carboxydothermus_hydrogenoformans	4
Pelobacter_carbinolicus	2
Geobacter_metallireducens	2
Burkholderia_lata	6
Sulfurimonas_denitrificans	4
Hahella_chejuensis	5
Erythrobacter_litoralis	1
Hyphomonas_neptunium	1
Salinibacter_ruber	1
Rhodospirillum_rubrum	4
Moorella_thermoacetica	1.33
Anaplasma_phagocytophilum	1
Ehrlichia_chaffeensis	1
Neorickettsia_sennetsu	1
Synechococcus_sp._JA-3-3Ab	2
'Synechococcus_sp._JA-2-3B''a(2-13)'	2
Novosphingobium_aromaticivorans	3
Frankia_casuarinae	2
Rhodopseudomonas_palustris	1.9
Anaeromyxobacter_dehalogenans	2
Syntrophus_aciditrophicus	1
Methanospirillum_hungatei	4
Jannaschia_sp._CCS1	1
Rhodoferax_ferrireducens	2
Janthinobacterium_sp._Marseille	2
Paraburkholderia_xenovorans	6
Saccharophagus_degradans	2
Methylobacillus_flagellatus	2
Methanococcoides_burtonii	3
